Date,"Flu","Influenza"
2016-03-22,90,5754
2016-03-23,115,5482
2016-03-24,102,4853
2016-03-25,117,4649
2016-03-26,95,3997
2016-03-27,102,3697
2016-03-28,117,5031
2016-03-29,137,5454
2016-03-30,126,5499
2016-03-31,137,4952
2016-04-01,97,4400
2016-04-02,84,3512
2016-04-03,94,3762
2016-04-04,102,4859
2016-04-05,123,4777
2016-04-06,124,4813
2016-04-07,98,4643
2016-04-08,125,4088
2016-04-09,108,3329
2016-04-10,100,3841
2016-04-11,89,5586
2016-04-12,100,5415
2016-04-13,111,6081
2016-04-14,92,5218
2016-04-15,92,4129
2016-04-16,84,3208
2016-04-17,71,3350
2016-04-18,111,4568
2016-04-19,96,4358
2016-04-20,111,4228
2016-04-21,2660,9618
2016-04-22,141,11514
2016-04-23,112,12080
2016-04-24,110,8095
2016-04-25,119,7630
2016-04-26,103,6259
2016-04-27,90,5651
2016-04-28,108,4867
2016-04-29,97,4275
2016-04-30,65,3292
2016-05-01,77,3564
2016-05-02,108,4528
2016-05-03,78,4372
2016-05-04,117,4187
2016-05-05,89,3939
2016-05-06,72,3336
2016-05-07,84,2809
2016-05-08,81,3046
2016-05-09,81,4000
2016-05-10,84,4024
2016-05-11,83,4186
2016-05-12,90,3765
2016-05-13,96,3393
2016-05-14,73,2531
2016-05-15,74,2959
2016-05-16,112,3583
2016-05-17,103,3666
2016-05-18,105,3724
2016-05-19,100,3739
2016-05-20,78,3089
2016-05-21,58,2745
2016-05-22,66,2741
2016-05-23,79,3739
2016-05-24,83,3534
2016-05-25,81,3465
2016-05-26,82,3494
2016-05-27,84,2887
2016-05-28,54,2347
2016-05-29,80,2454
2016-05-30,83,3323
2016-05-31,81,3103
2016-06-01,84,3233
2016-06-02,59,3175
2016-06-03,76,2860
2016-06-04,73,2257
2016-06-05,63,2424
2016-06-06,73,3077
2016-06-07,74,3007
2016-06-08,68,3215
2016-06-09,63,2933
2016-06-10,64,2369
2016-06-11,55,2025
2016-06-12,52,2225
2016-06-13,87,2979
2016-06-14,81,2937
2016-06-15,69,2828
2016-06-16,74,2833
2016-06-17,70,2324
2016-06-18,60,2055
2016-06-19,46,2219
2016-06-20,99,2834
2016-06-21,74,2892
2016-06-22,53,2856
