Term,Flu,Flu,Flu,Flu,Flu,Flu,Flu,Flu,Influenza,Influenza,Influenza,Influenza,Influenza,Influenza,Influenza,Influenza,Influenza A virus,Influenza A virus,Influenza A virus,Influenza A virus,Influenza A virus,Influenza A virus,Influenza A virus,Influenza A virus,Type A influenza,Type A influenza,Type A influenza,Type A influenza,Type A influenza,Type A influenza,Type A influenza,Type A influenza
Lag,lag_0w,lag_1w,lag_2w,lag_3w,lag_4w,lag_5w,lag_6w,lag_7w,lag_0w,lag_1w,lag_2w,lag_3w,lag_4w,lag_5w,lag_6w,lag_7w,lag_0w,lag_1w,lag_2w,lag_3w,lag_4w,lag_5w,lag_6w,lag_7w,lag_0w,lag_1w,lag_2w,lag_3w,lag_4w,lag_5w,lag_6w,lag_7w
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,0.17543803702085076,0.20840276484342599,0.27076382501134794,0.3370550301438145,0.39491052315443925,0.4257284965512865,0.40948632261862744,0.35466317007584147,0.2416367101116421,0.2781723926253086,0.3419161245367976,0.40588769743554165,0.4608910464431189,0.49906482704616084,0.4878310402258915,0.43354382880723075,0.657283335134379,0.6437846029301351,0.6415649897707237,0.6430870705755218,0.6403613730456988,0.5976551211114064,0.5230935504565221,0.428248307165944,0.176665438807381,0.1989868110583861,0.2264668992154834,0.2537188292607699,0.26503563153655274,0.2698172798542963,0.24809172621646272,0.2181742034647604
US,0.13863198986771985,0.1582645503777286,0.19623968840946274,0.2586222882437863,0.32750955235741347,0.3746699016604985,0.4142488221732588,0.381593281998678,0.19658308529381668,0.2161882101021621,0.25653665794262276,0.32474778773663526,0.3939883449481273,0.4380793564824975,0.48930491943528487,0.4615982336894236,0.6886969311956719,0.6745635018134981,0.6643043080840645,0.6570424938202997,0.6414535148478252,0.59804123205632,0.5447140727477295,0.4559169851912284,0.16077337486627769,0.18408864684759518,0.21551033116082807,0.23383504479047584,0.25508904905568996,0.26737885562875563,0.2760688312204341,0.2498325397817068
Georgia,0.09241580954629494,0.1274168579495614,0.17672971205098226,0.23100631033460178,0.2913316308296255,0.3417844320603355,0.382943046833122,0.38448911617001075,0.15794776374132136,0.1990636386810412,0.25060802781882957,0.30279526478565694,0.36493451029526525,0.42051221358132596,0.46340654254182756,0.4649777331050072,0.6624169399921693,0.6573977071709911,0.6515811548430187,0.6486725371252267,0.645227755808951,0.6110126115730918,0.5628231036940948,0.4975834323803505,0.19020036734694204,0.20236307602178374,0.2335452578093385,0.2712764456732893,0.2938019117795331,0.30886738547480425,0.32550196190246217,0.32174140714687927
South Dakota,0.23035374826448385,0.2747705761565494,0.3083380371984725,0.33184168305127876,0.3611132447944453,0.37175085191032264,0.3736895391034949,0.339012651123452,0.279067262392953,0.32500929304269144,0.3570624799021722,0.3836034849936656,0.4211718658607629,0.4251126855654075,0.4257699596422783,0.38995560694250664,0.634250647713632,0.6104342957574158,0.5755952636008361,0.5303201470444487,0.4973779506463811,0.44342647237194227,0.3884281092153367,0.31281830891648443,0.20859852609398796,0.250579935136021,0.2833257984453606,0.2739249050871126,0.2720518446277072,0.2654668501560002,0.2693516043879524,0.2521884939717042
North Carolina,0.12471760156891723,0.167326945656659,0.21253823136378697,0.2769531185491649,0.32759222290534545,0.38220034350412924,0.38427115221651986,0.3506512257031211,0.179905271047444,0.22240109361686444,0.2726783045785336,0.33927476586049016,0.3820270367467337,0.4441123505945567,0.447003346771593,0.41282854753265097,0.6438170185971561,0.6435253274621318,0.6367160995751716,0.6314050882013977,0.6160488265773203,0.5814904261152994,0.508399284939261,0.42152570187179583,0.15060001260019046,0.18359097780391914,0.21381280417351584,0.2571516956980877,0.2697079135032685,0.28774189159008434,0.2778579914210896,0.26251041789331286
Texas,0.11069787353066318,0.148556923830006,0.19333981106617296,0.23906723970375618,0.28888247146822665,0.34405672183413644,0.38216403239129604,0.3890036645652567,0.16143745521780217,0.20156259350242411,0.24580571619258368,0.294644663573825,0.34895429825501634,0.4075401976808627,0.447528746372061,0.4569793224473805,0.6697960690063403,0.6682303209111894,0.6712307444994362,0.6716875594813929,0.65435448239427,0.6229652829795151,0.5756854289722635,0.5147680739085951,0.15017841340128735,0.16507210238339357,0.21830945667491175,0.24212143513649606,0.24798186125077673,0.24211420844470097,0.2477401680063587,0.246685278675696
Rhode Island,0.1798819974284112,0.2124358997193686,0.2631042557322826,0.3010817832711018,0.3315740489597926,0.34462704705810565,0.3374337925768571,0.3025536931541133,0.2342391144536228,0.275271797649304,0.32411176059217384,0.363205532240196,0.3969461826548106,0.41696781598495464,0.40919610478735724,0.37318088497981083,0.6486451963203901,0.628361555164517,0.6042759265019585,0.5609670872251842,0.512735720396973,0.43391936994435243,0.34417991067692255,0.26453011627103723,0.21748516267693713,0.2549982779813464,0.29083055571571204,0.3157126201035562,0.31929778612801607,0.3031560212957109,0.27965945349444304,0.25994675440220133
Kansas,0.17010334545523198,0.21069940317509303,0.2502818949312567,0.2725976443318145,0.28890927747531975,0.29959319202202017,0.31748434594526437,0.30586493505574197,0.22497295371665785,0.2665765019057545,0.30635961123905475,0.33307057107729254,0.3553719413372281,0.3696155471291294,0.38392475197373643,0.3718125762635301,0.6658092893091185,0.6578364441226647,0.6537376015180365,0.6291332601821545,0.588011771646101,0.5205562199404192,0.45091356789274867,0.3813472082404916,0.17770447752707605,0.19877054032188918,0.22784795148618922,0.24108323148578828,0.2367775733256834,0.22925555912123902,0.23388112091986984,0.22929376157766368
