Week,Average Page Visits per Day
2015-07-01,80.0
2015-07-08,84.42857142857143
2015-07-15,70.71428571428571
2015-07-22,78.28571428571429
2015-07-29,84.85714285714286
2015-08-05,85.42857142857143
2015-08-12,81.71428571428571
2015-08-19,91.85714285714286
2015-08-26,94.28571428571429
2015-09-02,106.71428571428571
2015-09-09,102.71428571428571
2015-09-16,115.28571428571429
2015-09-23,116.0
2015-09-30,128.28571428571428
2015-10-07,130.57142857142858
2015-10-14,134.42857142857142
2015-10-21,131.57142857142858
2015-10-28,118.42857142857143
2015-11-04,127.28571428571429
2015-11-11,144.0
2015-11-18,126.14285714285714
2015-11-25,123.85714285714286
2015-12-02,117.71428571428571
2015-12-09,119.28571428571429
2015-12-16,108.42857142857143
2015-12-23,107.85714285714286
2015-12-30,126.14285714285714
2016-01-06,149.28571428571428
2016-01-13,129.28571428571428
2016-01-20,146.14285714285714
2016-01-27,144.0
2016-02-03,134.57142857142858
2016-02-10,144.71428571428572
2016-02-17,166.71428571428572
2016-02-24,160.28571428571428
2016-03-02,164.42857142857142
2016-03-09,141.57142857142858
2016-03-16,116.14285714285714
2016-03-23,112.14285714285714
2016-03-30,109.0
2016-04-06,106.28571428571429
2016-04-13,93.85714285714286
2016-04-20,479.42857142857144
2016-04-27,89.0
2016-05-04,86.85714285714286
2016-05-11,90.14285714285714
2016-05-18,81.28571428571429
2016-05-25,77.85714285714286
2016-06-01,71.71428571428571
2016-06-08,67.14285714285714
2016-06-15,70.28571428571429
2016-06-22,60.142857142857146
2016-06-29,72.57142857142857
2016-07-06,70.42857142857143
2016-07-13,65.28571428571429
2016-07-20,68.0
2016-07-27,68.71428571428571
2016-08-03,71.85714285714286
2016-08-10,70.0
2016-08-17,71.42857142857143
2016-08-24,80.71428571428571
2016-08-31,80.57142857142857
2016-09-07,88.85714285714286
2016-09-14,125.85714285714286
2016-09-21,104.85714285714286
2016-09-28,111.0
2016-10-05,103.57142857142857
2016-10-12,106.14285714285714
2016-10-19,111.85714285714286
2016-10-26,93.57142857142857
2016-11-02,105.14285714285714
2016-11-09,96.42857142857143
2016-11-16,109.85714285714286
2016-11-23,89.0
2016-11-30,98.14285714285714
2016-12-07,99.42857142857143
2016-12-14,104.0
2016-12-21,98.57142857142857
2016-12-28,128.42857142857142
2017-01-04,152.14285714285714
2017-01-11,141.85714285714286
2017-01-18,135.57142857142858
2017-01-25,125.14285714285714
2017-02-01,138.14285714285714
2017-02-08,140.57142857142858
2017-02-15,124.28571428571429
2017-02-22,124.42857142857143
2017-03-01,115.42857142857143
2017-03-08,108.14285714285714
2017-03-15,103.71428571428571
2017-03-22,102.28571428571429
2017-03-29,104.28571428571429
2017-04-05,83.71428571428571
2017-04-12,75.71428571428571
2017-04-19,75.71428571428571
2017-04-26,70.42857142857143
2017-05-03,82.85714285714286
2017-05-10,79.57142857142857
2017-05-17,73.14285714285714
2017-05-24,72.14285714285714
2017-05-31,75.71428571428571
2017-06-07,61.857142857142854
2017-06-14,69.42857142857143
2017-06-21,64.71428571428571
2017-06-28,62.285714285714285
2017-07-05,64.0
2017-07-12,69.28571428571429
2017-07-19,67.0
2017-07-26,59.57142857142857
2017-08-02,65.71428571428571
2017-08-09,69.14285714285714
2017-08-16,63.0
2017-08-23,63.285714285714285
2017-08-30,62.285714285714285
2017-09-06,66.14285714285714
2017-09-13,77.0
2017-09-20,89.85714285714286
2017-09-27,80.0
2017-10-04,91.85714285714286
2017-10-11,94.28571428571429
2017-10-18,96.57142857142857
2017-10-25,90.85714285714286
2017-11-01,90.28571428571429
2017-11-08,91.42857142857143
2017-11-15,128.14285714285714
2017-11-22,97.57142857142857
2017-11-29,105.71428571428571
2017-12-06,119.85714285714286
2017-12-13,124.42857142857143
2017-12-20,125.71428571428571
2017-12-27,148.85714285714286
2018-01-03,217.42857142857142
2018-01-10,247.0
2018-01-17,258.14285714285717
2018-01-24,259.2857142857143
2018-01-31,233.57142857142858
2018-02-07,229.71428571428572
2018-02-14,190.57142857142858
2018-02-21,142.57142857142858
2018-02-28,127.28571428571429
2018-03-07,104.0
2018-03-14,95.42857142857143
2018-03-21,97.0
2018-03-28,92.57142857142857
2018-04-04,81.14285714285714
2018-04-11,74.0
2018-04-18,69.28571428571429
2018-04-25,72.28571428571429
2018-05-02,67.42857142857143
2018-05-09,63.0
2018-05-16,64.85714285714286
2018-05-23,62.142857142857146
2018-05-30,66.14285714285714
2018-06-06,62.857142857142854
2018-06-13,58.714285714285715
2018-06-20,54.142857142857146
2018-06-27,58.285714285714285
2018-07-04,58.857142857142854
2018-07-11,52.57142857142857
2018-07-18,65.42857142857143
2018-07-25,62.57142857142857
2018-08-01,64.71428571428571
2018-08-08,56.714285714285715
2018-08-15,54.142857142857146
2018-08-22,58.142857142857146
2018-08-29,63.0
2018-09-05,72.85714285714286
2018-09-12,73.42857142857143
2018-09-19,91.57142857142857
2018-09-26,96.28571428571429
2018-10-03,96.42857142857143
2018-10-10,87.14285714285714
2018-10-17,93.42857142857143
2018-10-24,88.42857142857143
2018-10-31,90.42857142857143
2018-11-07,81.14285714285714
2018-11-14,79.57142857142857
2018-11-21,84.71428571428571
2018-11-28,83.42857142857143
2018-12-05,90.28571428571429
2018-12-12,83.0
2018-12-19,84.85714285714286
2018-12-26,91.0
2019-01-02,116.71428571428571
2019-01-09,109.14285714285714
2019-01-16,101.0
2019-01-23,113.42857142857143
2019-01-30,109.57142857142857
2019-02-06,120.14285714285714
2019-02-13,100.71428571428571
2019-02-20,102.0
2019-02-27,91.85714285714286
