State,Influenza A virus (lag 0w),Flu (lag 0w),Influenza (lag 0w),Type A influenza (lag 0w),Influenza A virus (lag 1w),Flu (lag 1w),Influenza (lag 1w),Type A influenza (lag 1w),Influenza A virus (lag 2w),Flu (lag 2w),Influenza (lag 2w),Type A influenza (lag 2w),Influenza A virus (lag 3w),Flu (lag 3w),Influenza (lag 3w),Type A influenza (lag 3w),Avg_Correlation
West Virginia,0.5394786333817283,0.045922898063212036,0.09541379356544166,0.06185390502779824,0.5084034778211173,0.0701745294875304,0.11627985609718106,0.0785542424857974,0.47466377463421405,0.08361134370567634,0.1327924939071544,0.08477084189686421,0.43374055809869305,0.09613225294973154,0.1489983254374389,0.08021292865106026,0.19068774095066496
Utah,0.417160689696365,0.10362317088184053,0.14150894763910538,0.036264218015133146,0.4109437785194549,0.12468407088741439,0.16001656986586432,0.054047987433521245,0.4063322508485562,0.14380384408282496,0.17951851219966902,0.0690810566536373,0.38254423772079704,0.14949439178193835,0.19223774886302522,0.054433022579382304,0.1891059061042831
Nevada,0.49890665413287427,0.026655924506722224,0.05953663622193462,0.03204707858391839,0.5018227125932855,0.0411228645709037,0.07466226125902095,0.05234325730436715,0.4902026075258051,0.05420152223206952,0.09451787768755512,0.060701246224891474,0.4670864117178465,0.07361449539859069,0.11989539581852399,0.05356083305311868,0.16880486117696425
Colorado,0.5371181198188477,-0.0023805783522718865,0.052880788160803924,0.04175791860381336,0.5166061413630503,0.00968463205910397,0.06358066090204641,0.056624954991723736,0.4985139368983827,0.0213027058984257,0.08004374538241738,0.0733165679467958,0.4640613719841211,0.03134572031809653,0.09658541253073465,0.06854659351352078,0.16309929325122574
Idaho,0.5205398425349219,0.015125564106245278,0.04923633469496229,-0.022842607905632376,0.5048709497167143,0.024003957317839365,0.060100892055726086,-0.004493975451870748,0.49251026010130755,0.03490797434837102,0.07605437440611006,0.0071997900081366,0.4709262234074657,0.030505047973001548,0.08082298653770219,0.017301532740853227,0.14729807166199088
Florida,0.6042274195358248,-0.05359639154954618,0.009255194391550849,-0.025170547308226113,0.5987550668742205,-0.04647450001453911,0.01543998144543865,-0.020760687675348853,0.5917203163153025,-0.035576665013060026,0.02888197364632212,-0.009584417347069586,0.5783665622189461,-0.013781417732974907,0.056405081859784975,-0.012730727457692971,0.1415860151368083
New Mexico,0.5222314482396164,-0.005488551340088646,0.030818214667272997,-0.008274875307238368,0.5041794463915159,0.004735110079011534,0.04246377993326419,0.003222335222713913,0.47193485622354514,0.013228172916480187,0.05504482673099949,0.007323403122131214,0.434358646222224,0.024865823638747425,0.06985465360923987,0.00589528882018114,0.136024536198101
Oklahoma,0.4763515752677487,0.025984146537807885,0.0612719037158567,0.01931721106853126,0.4295408911544375,0.035071145182477906,0.06716019760490964,0.03193287961386395,0.3759717995146177,0.03959938462985317,0.07161676121380658,0.04124568804645018,0.32365945087318126,0.04528433934355504,0.0819213210277526,0.030828127915064556,0.13479730141936966
North Dakota,0.4637476094242868,-0.02173893525732486,0.03259327088350127,0.011860782754040042,0.41769447010521943,-0.0008387789746041735,0.05036107570552657,0.022814793140909624,0.37625126374986884,0.02339948259243916,0.0665254306666264,0.025006937179219882,0.32700017797298153,0.02513319941033732,0.06637919095946687,0.022453115567537152,0.119290192867502
District of Columbia,0.402531131581944,-0.0005310724370925814,0.018335968647229167,-0.07044376436511086,0.3562242516761084,0.02077866880035747,0.028658666767885435,-0.06835339341331347,0.3641747904920139,0.061805618633447586,0.045714951327133484,-0.06744345033066232,0.35277407731880955,0.07640925254684934,0.06060144620656476,-0.06235292669137349,0.0949302635475494
Maine,0.35926029529127596,0.005992586248557027,0.03509671698614808,-0.02097599002166106,0.300559478587212,0.007593006948315339,0.035266487299864424,-0.007174221787730951,0.2445511991345808,0.011525660541736028,0.0410769392355538,-0.00821509876488721,0.1867210974561424,0.013886403274280947,0.04740260535417847,-0.02794938757605951,0.07653861113796916
Montana,0.42802730637527847,-0.054713604874392016,-0.009607527755819908,-0.07016914367208438,0.39162842714230617,-0.04845502638497703,-0.006865499728148455,-0.06885382284924707,0.3468389780777238,-0.05729924154536705,-0.012119787261725624,-0.06877709492570439,0.2947594755038841,-0.06485583956034782,-0.019715075229901527,-0.06947427616693971,0.056896765446533604
Puerto Rico,,,,,,,,,,,,,,,,,
