Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,US,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,US,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
83.8727682899606,4.198024333150091,29.385800920817005,41.788232393176564,85.59900687150558,3.950742488642865,6.506971919439012,0.8669066246414465,1849.6285777685662,99.3892268788527,156.5233975447888,6.254927704824826,1.6512721247434397,30.4078937409921,57.34166032894759,5.772933715281919,4.579867999990784,27.1739984388254,106.6123426527232,1.47818135393333,27.183926777047517,9.933109211725576,14.3935533313364,11.163639000178954,67.96007368363571,13.344859736703937,0.6437459297416295,11.621412795782476,20.83200470036779,1.228763438852594,36.41196517071157,25.319144951536686,52.996315799019854,42.04880466740185,1.349799145349563,37.65941194101936,16.875584806228893,4.6106062286814735,81.88288598780112,38.96116269998898,-0.14044846299418834,45.017051355386734,12.1283438491938,58.587759529227746,331.93346015486577,1849.6285777685662,4.240328603577142,0.2643967295533149,60.74918043138791,9.467538796882664,11.171172922617547,3.905773789878735,2.0154442739777494
150.8028388965799,2.1783226427290283,39.08953240024261,50.22952843281652,128.24735881580096,14.901918727454643,11.695144021512023,1.5922474023729807,2666.459704759879,129.99444969422382,130.1487057158839,4.094805704607575,1.6253436306102484,39.96003256196792,73.85436535473575,8.47149858469133,16.99991793382572,8.721969815173686,134.51913611451673,1.1753775949498477,43.46914222881316,10.88217453237497,15.626388596610859,15.939846947467396,91.89524542702894,26.154363103990548,0.4545314374794476,12.208927328759367,19.06191228998925,1.6467130943837986,36.87470814765253,25.43417622345247,42.70458637441213,88.59761575645727,3.167939293971931,37.17707455016257,34.7600287713167,7.5023098348582575,93.73052037257192,44.36864388484002,2.1224921081506025,77.33626883875472,13.243121706771749,83.14126711700212,547.1720471932566,2666.459704759879,7.3245602747056395,-0.18826467993114104,88.28663708533247,22.30702100196141,15.400137776162895,11.098031035781679,2.2417165243066526
334.42994738653255,8.79003366700786,62.014093581230526,86.39173168277947,209.99718288931754,28.938986848887904,39.22724499060289,4.326982036082518,5418.345033129116,276.2892550267395,251.6389775011369,7.47648665092346,2.804051630336338,116.59062362052946,109.77583035611168,13.271410214333486,21.111507664134304,84.1529679288815,268.4444828127633,3.3560799960447953,115.90247354338084,21.95925801909575,56.97486708984679,42.41639348737936,164.39541248168018,57.34127358717389,3.5423179808166,12.329309531149102,20.597767063139695,2.2655674304816857,76.88020526405317,51.879319220258935,123.35309139308494,246.18928044785866,2.8681108569929763,113.87388386828843,66.44289531045735,6.385064142476069,183.04402610001833,48.499445485173226,-0.009059562235424909,190.5860016251956,12.098032028928918,120.64266815923625,785.9793073583693,5418.345033129116,14.781977985993251,0.7755778673393561,220.40855884695233,29.716359587038685,52.54496697271354,18.765538521397442,3.985046085902902
459.28452231306915,14.979136789288267,91.3128642301987,151.31994272983877,486.31838886781344,35.590895996376055,40.831767892745134,9.248043084076802,7647.979362155957,311.2076404492589,250.53561184647916,7.542666214240878,12.812726631980091,159.36723315680638,145.82809410128132,15.266856113429531,33.14117956853425,134.6478584534918,209.24019170063352,4.004125208710254,157.5314347891979,34.978207155688075,51.38408780400562,81.15291430838917,339.5806576187458,71.56621436456129,6.117934500683967,29.83592871599052,38.337363840940455,3.385387570477514,197.78101367331075,95.47022287362044,216.61856450308824,327.56933461056985,7.4913983576436225,210.81695206213791,45.10688199487959,41.49383328376055,235.9718939189494,68.3957638838266,3.33358726874745,303.69775043894583,10.706200699003812,246.98502315310745,1098.2576124377867,7647.979362155957,4.63848596559484,0.1875054484215113,398.9306043328016,44.73005018529014,91.01503710465019,32.49269945361581,6.3405144336783135
337.29532997708867,14.879586233552129,156.01260908277231,242.96026952096594,1095.2288803060046,62.087670929546505,58.66482541102531,12.936353044119027,10030.119938526506,513.3594036418083,270.1082078507905,19.977213021208442,16.093588683552944,276.4845451569954,144.9002291100187,17.766429707710458,48.049451110654346,275.11061649745335,235.90209701310332,7.683749901360923,233.42030016273478,52.62214589231301,96.0535799469045,171.07417446220276,243.40935650822502,121.4465159386322,11.429476029758497,25.359423273256127,96.37033316159324,5.312203135382178,372.72954704118945,175.4121712141334,321.0393763644997,385.78156387739574,11.148506527406349,287.24948539238324,82.9287168322981,61.70770548310841,392.0324382919274,91.04601326497985,6.422616826086371,256.2893911396172,14.026636452391251,342.18414950038954,1176.7021090266574,10030.119938526506,16.26892230346798,0.7015889431910353,361.9562503189554,98.11979505804588,148.2823170575875,50.09370391959102,9.718666908302051
233.2627462785103,33.21308324857866,317.72689980584965,230.7766067149164,1857.1404460411566,116.40043645222296,113.39296434592649,49.419033412496226,12688.686419163123,554.878066477541,225.3721477245551,17.467090703322846,46.21734682795035,437.16262348517364,255.85262159647692,37.16477307848251,70.82868822473057,334.82535317670994,240.8680709862969,14.69886759044004,223.23434021064648,92.46118624374962,180.70130753778034,269.0925212661905,252.75512266816742,262.76900789293137,14.363834773040839,32.08939780102355,168.71532850053765,11.015607800269436,329.47183367106874,180.72361188629313,607.711761311289,374.2977589733821,16.478975889543563,346.2488598867555,176.63769774933985,147.27224500265984,458.3646607769072,75.82794436382721,3.0059657134297795,219.3173518234266,23.613904907419332,279.5229785245625,1184.7464590366128,12688.686419163123,8.326653205958163,1.8206428097866594,225.4764408029246,303.6313755518642,149.8453546154287,91.885631915956,33.75997079000604
281.6952871262386,67.01090341460852,643.7547101855405,487.9312294402415,3397.324088273295,167.83796393027194,205.3066121787998,37.72294583188743,25224.86737323078,844.4708719825928,267.14753963883743,13.932555620561745,166.2396730453042,1037.097412744676,515.0651828191906,119.3821391988247,180.44938854896736,617.1152516401816,353.561158700937,28.15365645967463,336.38902061735877,216.86819510742947,338.187168623049,459.23117689279024,279.8731749953104,648.4644512883815,44.12489979557939,60.369586211068196,295.8593389415636,11.919812568576926,560.7357965994408,179.7619668952998,1010.7686233393761,467.3840242200854,24.447584343045264,656.3176985320531,457.34600553076564,606.7427885495439,760.9925227041251,76.00080346170759,14.486930652779423,213.87068714951283,53.41166296146206,461.4274190781073,2087.725436862625,25224.86737323078,36.863566240164616,12.003348682051094,453.893604657476,827.9226282099282,215.07811317349987,268.8663447066415,37.35375821608457
485.722908406024,57.88852745193217,886.1149409734717,470.52942916982647,3573.563567724725,171.62797835749294,564.2314109555954,68.1806683828168,33844.10831099663,1034.9119505149788,373.62172743873435,11.010729102577109,211.48298119680464,1262.1571834442088,1073.9251886171728,291.80963523510803,390.9324035429522,1029.7228730759477,488.2386634293689,83.73728360356938,470.5714741376889,705.8218400909184,549.9297548789076,466.8194829952748,269.70133993274663,1091.7166108491328,68.19042800005455,104.98513425937287,622.8779676501356,27.522065936560647,1198.6257340104164,405.2117048004503,1652.428003808998,783.021659819884,55.83754059643337,1105.2175120903983,1131.6186668463874,718.3897168170645,1608.806965747338,76.67333383076152,23.97971828455098,265.7282892448855,73.49331879255716,735.4227173688262,2509.764305420131,33844.10831099663,38.08546020153504,32.477201926926156,522.1424486995282,845.5548380152966,330.00432752198884,588.9390184193621,63.31057841571861
237.5936271003339,69.6872916808525,737.0305514251725,345.5244803361447,1820.4528224812968,236.8713139174327,417.07609971009856,56.19722431369825,18792.42414835748,743.2371299816299,184.4617108735308,13.169877970243235,182.43435869779006,839.7206087684965,811.2001885327411,229.69317731503406,239.71520449500758,550.2481121190218,361.5857780771762,115.61901569136953,327.7840843678489,539.6806593632716,708.8662892655796,327.3449684675427,153.07770897810127,739.2539535548314,109.81616164068022,122.84344113832668,452.81131444068023,59.94554298822622,811.2281432595726,459.7376450370055,1723.7167831694308,369.7823502238082,34.25060387685964,892.2160197368839,811.688840289346,717.7658141522292,1028.1639348725307,74.82339235186278,62.41796385255722,121.8921605688839,84.17307884831514,515.6229342303736,1562.968180768503,18792.42414835748,64.8094507733549,49.43954543784032,310.1607363632019,605.9684947470474,271.73441603714673,489.4957596388599,67.44410056063903
179.14867472140753,56.88894038740793,498.62103103762627,228.84160366516093,1262.9720991988133,253.50553436210822,398.83277816362846,16.34496040325459,22961.264181502152,852.9372791561425,174.02592027147043,13.406751933724015,288.67944795459744,638.0620663209545,682.235894920482,364.105392144345,215.50031554257248,423.434131059907,113.3984987266378,169.17482333811,257.216955760822,739.0795829794096,1053.926164723883,226.50622041708885,134.24648610397986,717.563850541808,96.84343271931014,184.0551316218642,298.426619690479,73.59217443429287,566.6476766200084,326.88167419306956,1950.9734755711743,358.41835323692254,55.70651352298102,965.0586436067201,746.2208325459368,699.2039510419728,1091.5070233793367,66.42463681578698,43.80543843092086,145.01932478380803,93.73592262731876,233.50702382850037,1557.998426229115,22961.264181502152,35.939742773248426,64.76434715179091,284.06029023748465,840.8784427599298,198.414605661245,478.36155715009477,36.480257979868654
