date,hosp_Alabama,hosp_Alaska,hosp_Arizona,hosp_Arkansas,hosp_California,hosp_Colorado,hosp_Connecticut,hosp_Delaware,hosp_District of Columbia,hosp_Florida,hosp_Georgia,hosp_Hawaii,hosp_Idaho,hosp_Illinois,hosp_Indiana,hosp_Iowa,hosp_Kansas,hosp_Kentucky,hosp_Louisiana,hosp_Maine,hosp_Maryland,hosp_Massachusetts,hosp_Michigan,hosp_Minnesota,hosp_Mississippi,hosp_Missouri,hosp_Montana,hosp_Nebraska,hosp_Nevada,hosp_New Hampshire,hosp_New Jersey,hosp_New Mexico,hosp_New York,hosp_North Carolina,hosp_North Dakota,hosp_Ohio,hosp_Oklahoma,hosp_Oregon,hosp_Pennsylvania,hosp_Puerto Rico,hosp_Rhode Island,hosp_South Carolina,hosp_South Dakota,hosp_Tennessee,hosp_Texas,hosp_US,hosp_Utah,hosp_Vermont,hosp_Virginia,hosp_Washington,hosp_West Virginia,hosp_Wisconsin,hosp_Wyoming
2012-10-06,28.0,2.0,0.0,2.0,195.0,14.0,0.0,2.0,1.0,0.0,35.0,0.0,0.0,36.0,0.0,18.0,0.0,0.0,37.0,0.0,22.0,0.0,24.0,0.0,24.0,37.0,0.0,20.0,38.0,0.0,59.0,16.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,,3.0,8.0,10.0,0.0,76.0,1038.0,0.0,6.0,11.0,20.0,24.0,0.0,2.0
2012-10-13,26.0,4.0,0.0,1.0,269.0,11.0,0.0,6.0,2.0,0.0,43.0,7.0,20.0,60.0,0.0,32.0,3.0,3.0,28.0,0.0,67.0,31.0,11.0,0.0,25.0,25.0,4.0,28.0,37.0,0.0,68.0,13.0,0.0,0.0,3.0,0.0,12.0,8.0,39.0,,2.0,18.0,5.0,5.0,85.0,1574.0,0.0,6.0,17.0,73.0,24.0,3.0,1.0
2012-10-20,22.0,0.0,3.0,0.0,300.0,24.0,0.0,6.0,0.0,0.0,65.0,0.0,19.0,77.0,0.0,10.0,0.0,0.0,40.0,0.0,31.0,11.0,2.0,0.0,25.0,29.0,4.0,37.0,33.0,7.0,55.0,10.0,0.0,0.0,2.0,5.0,36.0,1.0,32.0,,5.0,6.0,5.0,5.0,88.0,1541.0,0.0,6.0,17.0,62.0,22.0,45.0,1.0
2012-10-27,33.0,3.0,0.0,0.0,183.0,29.0,0.0,7.0,2.0,9.0,93.0,5.0,17.0,61.0,0.0,0.0,2.0,0.0,24.0,0.0,19.0,17.0,60.0,0.0,28.0,27.0,0.0,17.0,51.0,3.0,86.0,19.0,0.0,0.0,0.0,0.0,27.0,15.0,0.0,,4.0,8.0,5.0,0.0,116.0,1675.0,0.0,6.0,19.0,66.0,28.0,33.0,1.0
2012-11-03,50.0,1.0,22.0,12.0,405.0,32.0,0.0,4.0,2.0,63.0,112.0,7.0,27.0,65.0,13.0,7.0,0.0,7.0,50.0,0.0,30.0,22.0,51.0,11.0,32.0,41.0,1.0,0.0,41.0,7.0,31.0,19.0,0.0,0.0,3.0,60.0,26.0,16.0,57.0,,8.0,8.0,5.0,6.0,159.0,2277.0,0.0,5.0,18.0,52.0,28.0,38.0,2.0
2012-11-10,67.0,3.0,2.0,16.0,487.0,19.0,0.0,13.0,0.0,52.0,167.0,1.0,21.0,74.0,6.0,10.0,8.0,3.0,30.0,0.0,28.0,9.0,43.0,11.0,41.0,45.0,5.0,31.0,12.0,7.0,52.0,19.0,0.0,0.0,3.0,4.0,47.0,17.0,66.0,,7.0,10.0,4.0,9.0,189.0,2612.0,0.0,4.0,31.0,75.0,32.0,34.0,1.0
2012-11-17,69.0,3.0,14.0,24.0,514.0,17.0,5.0,6.0,0.0,66.0,247.0,2.0,30.0,85.0,11.0,14.0,4.0,14.0,51.0,1.0,33.0,20.0,21.0,4.0,48.0,45.0,2.0,23.0,70.0,6.0,48.0,25.0,0.0,0.0,2.0,6.0,63.0,9.0,49.0,,8.0,9.0,9.0,13.0,128.0,3081.0,4.0,9.0,41.0,100.0,31.0,40.0,3.0
2012-11-24,88.0,1.0,17.0,38.0,639.0,22.0,8.0,8.0,3.0,120.0,307.0,5.0,48.0,112.0,10.0,16.0,13.0,18.0,55.0,4.0,63.0,36.0,50.0,30.0,51.0,61.0,9.0,0.0,85.0,4.0,64.0,27.0,0.0,0.0,2.0,0.0,49.0,35.0,78.0,,11.0,11.0,7.0,19.0,217.0,3985.0,0.0,10.0,48.0,143.0,25.0,30.0,1.0
2012-12-01,92.0,0.0,41.0,21.0,436.0,26.0,0.0,5.0,5.0,145.0,172.0,9.0,27.0,84.0,16.0,30.0,8.0,22.0,47.0,0.0,53.0,32.0,8.0,14.0,52.0,66.0,0.0,29.0,80.0,2.0,75.0,25.0,170.0,0.0,1.0,0.0,39.0,14.0,95.0,,12.0,10.0,10.0,18.0,204.0,3349.0,1.0,7.0,45.0,70.0,20.0,50.0,2.0
2012-12-08,124.0,1.0,100.0,10.0,600.0,24.0,6.0,6.0,2.0,140.0,243.0,14.0,25.0,117.0,21.0,36.0,11.0,20.0,50.0,0.0,36.0,37.0,8.0,0.0,60.0,57.0,0.0,24.0,90.0,5.0,78.0,18.0,256.0,0.0,0.0,0.0,43.0,29.0,99.0,,10.0,9.0,11.0,30.0,165.0,4086.0,12.0,4.0,54.0,66.0,24.0,51.0,1.0
