date,hosp_Alabama,hosp_Alaska,hosp_Arizona,hosp_Arkansas,hosp_California,hosp_Colorado,hosp_Connecticut,hosp_Delaware,hosp_District of Columbia,hosp_Florida,hosp_Georgia,hosp_Hawaii,hosp_Idaho,hosp_Illinois,hosp_Indiana,hosp_Iowa,hosp_Kansas,hosp_Kentucky,hosp_Louisiana,hosp_Maine,hosp_Maryland,hosp_Massachusetts,hosp_Michigan,hosp_Minnesota,hosp_Mississippi,hosp_Missouri,hosp_Montana,hosp_Nebraska,hosp_Nevada,hosp_New Hampshire,hosp_New Jersey,hosp_New Mexico,hosp_New York,hosp_North Carolina,hosp_North Dakota,hosp_Ohio,hosp_Oklahoma,hosp_Oregon,hosp_Pennsylvania,hosp_Puerto Rico,hosp_Rhode Island,hosp_South Carolina,hosp_South Dakota,hosp_Tennessee,hosp_Texas,hosp_US,hosp_Utah,hosp_Vermont,hosp_Virginia,hosp_Washington,hosp_West Virginia,hosp_Wisconsin,hosp_Wyoming
2012-10-06,32.0,2.0,0.0,2.0,196.0,14.0,0.0,2.0,1.0,0.0,29.0,0.0,0.0,37.0,0.0,18.0,0.0,0.0,37.0,0.0,22.0,0.0,32.0,0.0,22.0,36.0,0.0,20.0,37.0,0.0,58.0,16.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,,3.0,8.0,10.0,0.0,74.0,996.0,0.0,6.0,11.0,15.0,24.0,0.0,2.0
2012-10-13,30.0,4.0,0.0,1.0,271.0,11.0,0.0,6.0,2.0,0.0,39.0,6.0,19.0,60.0,0.0,32.0,3.0,3.0,28.0,0.0,68.0,30.0,18.0,0.0,23.0,25.0,4.0,28.0,36.0,0.0,69.0,13.0,0.0,0.0,3.0,0.0,12.0,9.0,38.0,,2.0,18.0,5.0,5.0,83.0,1527.0,0.0,5.0,16.0,74.0,24.0,3.0,1.0
2012-10-20,26.0,0.0,3.0,0.0,302.0,23.0,0.0,6.0,0.0,0.0,68.0,0.0,18.0,76.0,0.0,10.0,1.0,0.0,41.0,0.0,30.0,11.0,8.0,0.0,24.0,28.0,4.0,36.0,33.0,7.0,55.0,9.0,0.0,0.0,2.0,5.0,35.0,1.0,31.0,,5.0,5.0,5.0,5.0,86.0,1494.0,0.0,6.0,16.0,60.0,22.0,45.0,1.0
2012-10-27,35.0,3.0,0.0,0.0,180.0,28.0,0.0,7.0,2.0,9.0,98.0,4.0,16.0,61.0,0.0,0.0,2.0,0.0,25.0,0.0,19.0,17.0,62.0,2.0,27.0,26.0,0.0,17.0,51.0,3.0,86.0,19.0,0.0,0.0,0.0,0.0,26.0,16.0,0.0,,4.0,7.0,5.0,0.0,112.0,1626.0,0.0,6.0,19.0,65.0,27.0,32.0,1.0
2012-11-03,49.0,1.0,21.0,11.0,412.0,31.0,0.0,4.0,2.0,61.0,122.0,6.0,26.0,66.0,12.0,7.0,1.0,6.0,51.0,0.0,30.0,22.0,54.0,14.0,31.0,40.0,1.0,0.0,41.0,7.0,31.0,19.0,0.0,0.0,3.0,59.0,25.0,17.0,57.0,,8.0,7.0,4.0,6.0,154.0,2224.0,0.0,4.0,18.0,46.0,28.0,38.0,2.0
2012-11-10,62.0,3.0,2.0,16.0,494.0,19.0,0.0,13.0,0.0,50.0,163.0,1.0,21.0,75.0,5.0,11.0,7.0,3.0,30.0,0.0,28.0,9.0,46.0,15.0,42.0,44.0,5.0,31.0,12.0,7.0,52.0,19.0,0.0,0.0,3.0,4.0,45.0,17.0,66.0,,7.0,10.0,4.0,9.0,183.0,2556.0,0.0,4.0,31.0,77.0,32.0,34.0,1.0
2012-11-17,64.0,3.0,14.0,24.0,522.0,17.0,4.0,6.0,0.0,63.0,229.0,2.0,28.0,85.0,10.0,14.0,4.0,14.0,51.0,1.0,33.0,20.0,30.0,7.0,52.0,44.0,2.0,23.0,70.0,6.0,48.0,25.0,0.0,0.0,2.0,6.0,60.0,11.0,49.0,,8.0,8.0,8.0,13.0,124.0,3020.0,4.0,8.0,41.0,104.0,30.0,40.0,3.0
2012-11-24,78.0,1.0,17.0,37.0,651.0,22.0,7.0,8.0,3.0,115.0,293.0,4.0,49.0,112.0,8.0,16.0,13.0,18.0,56.0,4.0,63.0,36.0,53.0,33.0,59.0,60.0,9.0,0.0,86.0,4.0,65.0,27.0,0.0,0.0,2.0,0.0,47.0,33.0,78.0,,11.0,10.0,6.0,17.0,210.0,3916.0,0.0,9.0,48.0,152.0,25.0,30.0,1.0
2012-12-01,81.0,0.0,40.0,21.0,443.0,26.0,0.0,5.0,5.0,139.0,167.0,8.0,25.0,84.0,15.0,30.0,7.0,22.0,48.0,0.0,53.0,31.0,14.0,19.0,59.0,65.0,0.0,29.0,80.0,2.0,75.0,25.0,173.0,0.0,0.0,0.0,37.0,14.0,95.0,,12.0,10.0,10.0,17.0,198.0,3286.0,2.0,7.0,45.0,68.0,20.0,50.0,2.0
2012-12-08,109.0,2.0,99.0,10.0,612.0,23.0,5.0,6.0,2.0,135.0,225.0,12.0,24.0,117.0,20.0,36.0,10.0,20.0,51.0,0.0,36.0,37.0,14.0,0.0,67.0,56.0,0.0,24.0,92.0,5.0,79.0,18.0,264.0,0.0,0.0,0.0,41.0,28.0,99.0,,10.0,8.0,10.0,29.0,159.0,4016.0,13.0,4.0,54.0,66.0,24.0,51.0,1.0
