Date,"Flu","Influenza","Influenza A virus","Symptoms of influenza","Influenza symptoms","Type A influenza","Flu treatment","Influenza vaccine","Cough"
2019-11-17,88,2843,889,3,18,0,1,1099,726
2019-11-18,101,3478,1315,4,18,0,0,1530,766
2019-11-19,99,3603,1292,1,6,0,0,1428,731
2019-11-20,85,3566,1274,0,3,1,1,1427,738
2019-11-21,91,3419,1310,0,9,0,2,1395,697
2019-11-22,67,2951,1181,0,1,1,1,1127,620
2019-11-23,57,2506,1072,0,5,0,1,852,588
2019-11-24,87,2954,1106,5,5,1,0,788,650
2019-11-25,126,3786,1395,4,13,2,2,1173,660
2019-11-26,76,3420,1421,0,1,0,0,1200,797
2019-11-27,81,3361,1479,5,2,2,1,1212,694
2019-11-28,69,3246,1518,1,5,1,2,1051,622
2019-11-29,82,2869,1147,0,1,0,0,908,674
2019-11-30,61,2625,1083,0,4,0,2,784,604
2019-12-01,70,2994,1067,0,5,0,0,880,655
2019-12-02,84,3715,1524,1,4,2,3,1109,728
2019-12-03,107,3655,1660,5,8,0,0,1199,730
2019-12-04,114,3759,1637,2,5,2,0,1150,706
2019-12-05,75,3635,1561,3,4,1,1,1181,664
2019-12-06,95,3590,1561,1,1,3,0,975,701
2019-12-07,985,3102,1329,1,3,0,0,868,685
2019-12-08,100,3435,1388,3,9,1,0,1344,702
2019-12-09,110,3845,1799,6,10,1,1,1079,694
2019-12-10,107,3767,1834,1,2,2,1,1143,675
2019-12-11,100,3971,1863,1,2,3,0,1086,759
2019-12-12,105,3462,1876,1,10,1,1,1046,658
2019-12-13,86,3276,1668,1,8,0,0,872,601
2019-12-14,77,2755,1520,3,9,0,1,836,612
2019-12-15,56,3008,1474,1,5,2,0,723,615
2019-12-16,105,3945,2374,1,10,1,1,1020,719
2019-12-17,95,5075,2712,2,1,1,0,1071,1145
2019-12-18,90,4943,2516,1,6,0,1,966,1245
2019-12-19,77,3838,2617,0,2,6,0,893,749
2019-12-20,65,3136,2388,0,0,0,0,808,616
2019-12-21,83,2888,2104,0,5,0,3,711,604
2019-12-22,76,3262,1912,0,6,1,2,718,621
2019-12-23,112,3365,2509,2,10,2,0,796,630
2019-12-24,98,3234,2463,0,2,2,0,683,555
2019-12-25,84,3150,1892,0,4,0,2,632,694
2019-12-26,105,3605,2737,1,7,6,1,802,714
2019-12-27,97,3660,2949,0,4,0,1,790,700
2019-12-28,109,3727,2756,0,6,1,0,681,717
2019-12-29,110,3786,2505,1,5,1,1,788,709
2019-12-30,86,3924,2997,0,4,0,0,870,737
2019-12-31,96,3492,2602,2,4,1,2,732,631
2020-01-01,79,3256,2045,1,2,0,2,557,651
2020-01-02,103,4516,2874,3,3,3,0,792,763
2020-01-03,107,4603,2984,1,4,7,0,871,721
2020-01-04,102,4142,3093,3,2,2,0,825,652
2020-01-05,113,4005,3594,1,1,12,0,806,760
2020-01-06,113,4700,3607,3,5,3,0,999,833
2020-01-07,128,5103,3594,2,3,4,1,1137,770
2020-01-08,119,5735,4278,1,7,4,0,1187,799
2020-01-09,116,5131,4502,2,2,5,0,1246,753
2020-01-10,97,4708,4974,1,4,2,0,1245,652
2020-01-11,89,4378,4054,4,5,3,0,1093,610
2020-01-12,82,3950,3998,1,5,4,0,1007,706
2020-01-13,129,5551,7320,5,18,4,0,1611,746
2020-01-14,95,6176,7115,4,3,8,0,1699,775
2020-01-15,103,6011,5220,5,7,3,1,1372,689
2020-01-16,129,5656,4619,1,7,3,0,1144,683
2020-01-17,100,4625,4101,1,3,4,0,1119,688
2020-01-18,79,4232,3293,3,6,7,2,843,646
2020-01-19,110,3781,3148,3,6,2,1,793,674
2020-01-20,153,5094,4128,8,6,1,0,937,742
2020-01-21,237,7194,4759,4,1,5,1,1101,802
2020-01-22,295,9702,5034,3,6,3,2,1355,771
2020-01-23,280,12950,5782,3,6,3,1,1454,815
2020-01-24,340,15885,5856,1,6,2,0,1418,808
2020-01-25,333,17189,5524,1,5,0,1,1389,813
2020-01-26,370,19019,5426,1,4,1,0,1494,840
2020-01-27,482,21048,6552,3,7,6,0,1937,995
2020-01-28,453,22858,7452,1,1,4,1,1909,1009
2020-01-29,471,22957,7682,1,4,3,0,1880,1027
2020-01-30,534,26375,7621,6,1,1,0,2105,1154
2020-01-31,489,27748,7236,4,7,2,1,1921,1001
2020-02-01,357,18819,6199,5,1,4,0,1524,782
2020-02-02,364,17321,5930,0,15,3,0,1522,798
2020-02-03,420,17472,6539,1,21,3,1,1444,745
2020-02-04,365,15566,6503,4,6,1,2,1432,795
2020-02-05,310,14189,6083,2,5,2,0,1365,726
2020-02-06,302,14074,5817,2,13,9,0,1408,738
2020-02-07,290,12514,5716,0,6,1,1,1423,772
2020-02-08,264,11458,4947,0,3,0,0,1231,594
2020-02-09,242,11444,4549,3,11,1,1,1184,685
2020-02-10,349,12584,5840,2,14,1,1,1253,694
2020-02-11,297,12652,6408,6,7,3,1,1236,647
2020-02-12,256,10747,5600,4,5,1,1,1189,717
2020-02-13,243,11140,5154,1,2,3,0,1262,769
2020-02-14,212,8967,4923,2,4,3,1,984,664
2020-02-15,161,8125,3792,4,5,4,0,896,566
2020-02-16,184,7489,3615,5,16,5,0,927,719
2020-02-17,199,8506,4429,4,15,4,0,1092,727
2020-02-18,214,9680,5022,2,8,4,1,998,755
2020-02-19,170,8729,5024,1,4,0,0,1004,724
2020-02-20,172,7905,4921,1,8,3,0,963,751
2020-02-21,196,8384,4683,2,7,0,0,944,648
2020-02-22,189,9506,4025,0,3,1,1,835,686
2020-02-23,240,13524,3963,4,8,4,0,871,665
2020-02-24,450,21924,5794,5,20,3,2,1193,789
2020-02-25,543,29618,6849,3,9,3,0,1441,803
2020-02-26,588,35886,7589,2,7,3,1,1713,786
2020-02-27,768,42070,8046,2,3,5,2,1940,893
2020-02-28,672,40299,7084,1,4,3,0,1985,817
2020-02-29,561,23238,5671,3,1,3,1,1745,726
2020-03-01,471,20190,5154,3,11,5,1,1710,719
2020-03-02,689,23761,6732,0,16,1,1,2140,844
2020-03-03,637,22671,7160,4,5,5,0,2348,824
2020-03-04,557,21343,6821,2,10,2,1,2228,813
2020-03-05,576,21094,6823,4,5,3,0,2229,861
2020-03-06,569,20887,6391,3,3,2,4,2192,807
2020-03-07,485,19590,5553,4,7,4,1,2042,814
2020-03-08,498,21757,7302,2,7,4,1,2115,724
2020-03-09,774,26268,7021,2,10,2,3,2631,933
2020-03-10,814,28978,7670,0,11,8,1,2771,912
2020-03-11,932,34366,8550,3,5,6,0,3471,1004
2020-03-12,1167,47607,12557,1,5,9,3,4437,1297
2020-03-13,1028,44801,9890,2,10,3,1,4055,1526
2020-03-14,893,38337,8643,5,9,7,1,3472,1321
2020-03-15,795,38422,8513,3,14,5,1,3545,1380
2020-03-16,876,39562,9726,5,13,4,3,3814,1399
2020-03-17,836,37810,9112,3,5,3,0,3764,1491
2020-03-18,776,39003,8699,6,4,3,2,3501,1534
2020-03-19,728,36555,8249,3,11,4,1,3408,2042
2020-03-20,780,35108,7340,9,13,5,1,3354,1944
2020-03-21,681,34095,7742,3,15,5,1,3226,1935
2020-03-22,718,34056,7478,5,20,2,1,3163,1834
2020-03-23,670,30577,6983,2,13,2,1,3132,1987
2020-03-24,624,29278,6610,3,2,1,1,3023,1951
2020-03-25,574,27650,7208,1,10,4,1,3206,1932
2020-03-26,610,27753,5824,2,3,3,0,3688,1878
2020-03-27,621,28858,5373,0,4,1,2,3021,1797
2020-03-28,587,27174,5219,2,9,3,1,3127,1647
2020-03-29,610,27487,5303,3,11,5,2,3206,1818
2020-03-30,525,24020,4539,0,3,3,1,2981,1583
2020-03-31,473,21701,4365,0,0,2,0,2697,1492
2020-04-01,481,22495,4305,2,7,1,1,2985,1495
2020-04-02,505,21499,4143,1,1,3,1,3095,1386
2020-04-03,404,19533,3680,1,2,0,2,2842,1225
2020-04-04,394,19487,3501,3,1,4,0,2864,1237
2020-04-05,397,19127,3633,0,4,2,1,2773,1246
2020-04-06,413,17892,3617,5,5,2,3,3277,1181
2020-04-07,348,15117,2910,2,2,3,2,2683,1029
2020-04-08,325,14254,2701,0,1,0,1,2709,992
2020-04-09,284,14412,2671,4,3,2,1,2860,926
2020-04-10,310,14516,2718,1,3,5,1,3003,1144
2020-04-11,256,13856,2899,0,2,0,2,2602,1170
2020-04-12,275,13409,2977,2,5,5,0,2336,1164
2020-04-13,267,12798,2791,0,3,2,2,2466,1177
2020-04-14,262,12193,2598,2,4,3,1,2584,1079
2020-04-15,287,12158,2472,1,3,3,1,2551,1111
2020-04-16,263,11854,2433,3,5,2,0,2624,1122
2020-04-17,262,11214,2401,1,2,4,3,2630,1117
2020-04-18,247,10765,2267,2,2,1,1,2431,1016
2020-04-19,289,11307,2414,1,11,1,1,2607,1002
2020-04-20,292,10809,2303,3,5,0,0,2563,1128
2020-04-21,285,11171,2318,1,2,3,0,2694,1063
2020-04-22,259,11977,2323,4,4,2,1,3186,1005
2020-04-23,240,11306,2059,2,3,5,2,3003,747
2020-04-24,204,9832,1688,1,6,3,0,2651,650
2020-04-25,230,9317,1503,1,6,1,0,2476,606
2020-04-26,228,9801,1627,2,13,2,1,2571,575
2020-04-27,251,9455,1551,2,21,1,2,2516,614
2020-04-28,233,9416,1617,1,2,3,0,2517,689
2020-04-29,235,9424,1724,2,3,2,1,2576,717
2020-04-30,194,8465,1483,1,1,1,1,2205,570
2020-05-01,157,7650,1413,1,1,1,4,2109,493
2020-05-02,148,7273,1228,0,2,0,2,1868,485
2020-05-03,135,7555,1371,0,0,0,1,1982,439
2020-05-04,169,7739,1335,1,1,1,0,2148,550
2020-05-05,155,7646,1252,0,1,0,0,2124,491
2020-05-06,180,7313,1502,0,0,0,1,2413,482
2020-05-07,166,7415,1611,0,0,2,0,2781,511
2020-05-08,130,6330,1354,1,1,0,0,2382,442
2020-05-09,145,6117,1316,2,0,2,0,2400,405
2020-05-10,123,6508,1314,1,0,1,1,2257,425
2020-05-11,140,6811,1381,0,1,0,0,2329,440
2020-05-12,147,6517,1306,0,1,1,0,2393,400
2020-05-13,143,6421,1187,0,2,1,0,2341,464
2020-05-14,155,7538,1387,0,0,0,1,2507,389
2020-05-15,113,6658,1199,2,0,0,2,2319,387
2020-05-16,120,6140,1042,2,2,3,2,1989,394
2020-05-17,98,6199,1085,1,1,0,0,2027,342
2020-05-18,142,6278,1172,1,1,2,0,2313,355
2020-05-19,134,5704,964,3,0,1,1,2151,434
2020-05-20,131,5451,959,0,1,1,0,1724,402
2020-05-21,107,5464,932,0,0,2,0,1731,393
2020-05-22,138,5016,862,0,0,0,0,1590,345
2020-05-23,87,4433,768,0,1,0,2,1348,322
2020-05-24,114,4688,900,1,0,2,3,1395,345
2020-05-25,118,4593,878,0,1,0,1,1526,356
2020-05-26,102,4856,864,0,2,0,0,1493,416
2020-05-27,113,4698,801,0,0,0,0,1262,411
2020-05-28,127,4517,847,0,1,1,3,1287,401
2020-05-29,98,3850,658,0,0,0,0,1061,393
2020-05-30,62,3497,539,0,1,0,0,896,352
2020-05-31,80,3373,569,1,0,1,1,836,321
2020-06-01,66,3444,558,1,0,0,1,818,348
2020-06-02,74,3147,581,0,0,0,1,828,362
2020-06-03,70,3241,583,1,0,0,0,857,381
2020-06-04,87,3111,515,1,0,0,2,793,330
2020-06-05,75,2949,504,0,1,2,0,799,354
2020-06-06,63,2879,443,0,0,0,0,648,335
2020-06-07,87,3132,565,2,0,0,0,689,281
2020-06-08,77,3302,575,1,0,1,0,773,384
2020-06-09,63,3187,617,0,0,1,0,690,358
2020-06-10,67,3099,568,0,1,0,0,786,333
2020-06-11,70,3106,582,0,1,0,0,806,330
2020-06-12,61,3097,491,1,1,0,0,827,309
2020-06-13,78,2809,533,0,1,0,1,687,294
2020-06-14,55,2884,495,0,0,1,1,769,356
2020-06-15,60,3161,561,2,2,1,0,781,330
2020-06-16,72,3118,509,1,1,1,0,817,307
2020-06-17,81,2971,566,2,0,0,0,814,344
2020-06-18,65,2996,516,0,0,0,0,809,402
2020-06-19,80,2951,502,0,3,0,0,752,373
2020-06-20,62,3307,450,0,1,1,0,719,291
2020-06-21,65,3823,567,0,0,0,0,777,294
2020-06-22,76,3686,584,0,2,0,0,777,392
2020-06-23,68,3373,513,2,0,0,0,893,342
2020-06-24,76,3267,572,1,0,0,0,821,380
2020-06-25,71,3342,549,2,0,1,0,895,372
2020-06-26,64,3224,542,0,0,0,0,876,319
2020-06-27,83,3215,452,0,2,0,0,757,332
2020-06-28,82,3407,526,0,1,0,0,839,305
2020-06-29,86,3835,646,1,1,0,0,1040,323
2020-06-30,95,4648,991,2,0,0,1,1137,325
2020-07-01,83,3631,713,2,0,0,0,1010,299
2020-07-02,82,3655,595,0,1,1,1,945,294
2020-07-03,93,3400,509,1,0,0,0,822,270
2020-07-04,79,2977,457,0,2,3,0,722,263
2020-07-05,63,3145,457,2,0,0,0,828,275
2020-07-06,78,3535,619,1,1,0,0,848,374
2020-07-07,111,3421,514,3,2,0,0,959,360
2020-07-08,105,3519,510,0,0,0,0,961,322
2020-07-09,81,3578,558,0,0,1,0,913,328
2020-07-10,72,3307,496,1,0,0,0,923,320
2020-07-11,65,3051,509,2,0,0,0,786,317
2020-07-12,64,3256,475,1,0,0,0,851,298
2020-07-13,100,3786,546,0,0,0,0,1047,341
2020-07-14,105,3926,612,3,2,0,1,1333,444
2020-07-15,88,3785,645,1,0,0,0,1373,345
2020-07-16,92,3659,620,1,1,0,0,1297,323
2020-07-17,74,3578,577,0,1,1,1,1086,344
2020-07-18,77,3310,513,1,0,1,0,998,305
2020-07-19,88,3687,591,2,0,1,0,997,343
2020-07-20,84,3794,564,2,0,0,0,1316,374
2020-07-21,79,3489,534,2,1,0,0,1297,328
2020-07-22,82,3587,616,0,3,1,0,1319,377
2020-07-23,99,3594,556,1,0,0,0,1156,374
2020-07-24,104,3342,529,0,1,0,0,1394,330
2020-07-25,87,3102,443,0,1,1,0,1106,326
2020-07-26,61,3238,767,0,0,1,0,1060,296
2020-07-27,73,3327,618,1,0,0,0,1306,339
2020-07-28,79,3259,548,0,0,0,0,1293,307
2020-07-29,82,3371,532,0,0,0,0,1140,321
2020-07-30,73,3264,502,0,1,0,0,1092,341
2020-07-31,98,3076,414,0,1,0,1,1159,247
2020-08-01,68,2750,434,1,0,2,0,1006,274
2020-08-02,77,3073,453,1,0,0,0,1105,262
2020-08-03,82,3373,572,0,1,2,0,1233,276
2020-08-04,84,3350,506,4,0,0,0,1109,299
2020-08-05,84,3212,504,1,0,1,0,1065,307
2020-08-06,68,3121,575,0,0,0,0,1054,353
2020-08-07,61,2824,487,0,2,0,2,1010,317
2020-08-08,76,2708,454,0,0,2,0,1101,286
2020-08-09,92,2949,541,0,2,1,0,1093,314
2020-08-10,75,3162,463,0,1,0,0,1100,371
2020-08-11,86,3537,688,0,0,0,0,1521,314
2020-08-12,71,3073,511,1,2,0,0,1234,306
2020-08-13,69,3005,511,0,0,0,1,1191,356
2020-08-14,84,2939,425,0,2,0,0,1197,313
2020-08-15,67,2590,448,0,1,0,0,916,284
2020-08-16,61,2814,551,0,0,0,0,1067,338
2020-08-17,74,3223,601,0,0,0,0,1190,331
2020-08-18,88,3127,450,0,0,0,1,1094,309
2020-08-19,61,3272,513,1,0,0,0,1445,340
2020-08-20,67,2910,474,0,1,0,0,1541,309
2020-08-21,81,2741,487,0,0,0,0,1257,317
2020-08-22,59,2837,432,0,0,1,0,1133,261
2020-08-23,67,3135,465,0,0,0,0,1101,316
2020-08-24,75,3230,489,0,0,0,0,1199,350
2020-08-25,70,3077,486,0,0,1,0,1159,375
2020-08-26,75,2927,450,0,1,1,0,1032,340
2020-08-27,83,2868,410,0,0,0,0,1093,368
2020-08-28,66,2852,419,1,2,0,0,933,320
2020-08-29,61,2717,414,0,1,0,0,940,298
2020-08-30,73,3006,488,0,1,0,0,929,318
2020-08-31,66,3301,565,1,1,1,0,1203,357
2020-09-01,62,2957,508,0,0,0,0,1238,364
2020-09-02,66,2883,544,0,1,0,0,1201,375
2020-09-03,80,2974,484,1,0,2,0,1452,357
2020-09-04,53,2710,492,0,1,0,0,1270,363
2020-09-05,66,2425,401,0,1,2,0,998,315
2020-09-06,52,2619,465,2,1,0,0,1112,330
2020-09-07,73,3084,510,1,1,0,0,1166,346
2020-09-08,60,3149,516,0,0,1,0,1449,428
2020-09-09,66,3272,571,0,0,1,0,1545,369
2020-09-10,88,3414,511,0,1,0,0,1496,413
2020-09-11,78,3290,518,0,0,1,0,1407,394
2020-09-12,60,2885,443,0,1,1,0,1243,300
2020-09-13,49,2731,396,1,0,0,0,1180,341
2020-09-14,85,3271,515,2,1,1,0,1464,452
2020-09-15,78,3396,550,1,0,0,1,1564,369
2020-09-16,83,3511,587,2,0,0,1,1758,392
2020-09-17,88,3641,533,0,0,0,0,1844,416
2020-09-18,76,3712,527,0,2,3,0,1729,329
2020-09-19,72,2791,428,1,1,0,0,1276,321
2020-09-20,70,3009,453,0,1,0,2,1219,296
2020-09-21,104,3836,541,2,0,1,0,1563,381
2020-09-22,96,4178,588,0,0,0,0,1898,464
2020-09-23,89,4050,598,1,0,0,1,2108,397
2020-09-24,84,3859,573,0,3,0,0,2063,332
2020-09-25,76,3620,601,1,0,0,0,1882,384
2020-09-26,77,3221,458,1,0,1,0,1628,405
2020-09-27,80,3238,531,0,0,2,0,1464,394
2020-09-28,76,3773,595,1,1,0,0,1828,431
2020-09-29,96,4445,650,1,1,0,0,2093,401
2020-09-30,70,3393,570,0,0,1,1,1941,364
2020-10-01,87,3213,541,0,1,2,1,1944,362
2020-10-02,93,3468,515,0,0,0,0,1744,354
2020-10-03,73,3387,463,1,1,0,0,1655,374
2020-10-04,70,3286,476,1,0,1,0,1482,407
2020-10-05,106,4156,677,0,0,0,0,2082,394
2020-10-06,155,5499,748,0,0,1,0,2258,391
2020-10-07,121,5106,734,0,0,0,0,2306,412
2020-10-08,127,4651,711,3,1,1,0,2215,500
2020-10-09,84,3873,564,0,2,0,0,1873,357
2020-10-10,80,3374,496,1,2,0,0,1710,315
2020-10-11,86,3658,620,1,1,0,0,1611,375
2020-10-12,99,4247,727,0,0,1,0,1954,434
2020-10-13,80,4554,718,3,4,1,1,2057,370
2020-10-14,104,4145,812,0,0,0,0,2123,439
2020-10-15,87,4287,786,0,0,0,0,2245,430
2020-10-16,77,3800,637,0,0,0,0,2008,370
2020-10-17,85,3575,537,0,0,0,0,1760,345
2020-10-18,93,3708,599,1,1,0,0,1728,381
2020-10-19,102,4486,791,0,1,0,0,2273,322
2020-10-20,84,4584,686,1,0,1,0,2251,456
2020-10-21,114,4561,813,1,1,0,0,2438,460
2020-10-22,85,4319,722,3,0,0,0,2376,377
2020-10-23,83,4047,645,0,1,0,0,2077,350
2020-10-24,71,3567,544,1,0,0,0,1794,312
2020-10-25,76,3917,666,0,1,1,1,1706,336
2020-10-26,107,4515,794,1,0,0,0,2059,393
2020-10-27,108,4572,796,0,2,0,1,2101,358
2020-10-28,94,4794,713,1,1,1,0,2037,344
2020-10-29,97,4572,815,1,0,0,0,1871,434
2020-10-30,84,4385,735,0,0,0,0,1603,326
2020-10-31,61,3741,599,1,0,1,0,1517,332
2020-11-01,89,3847,608,0,0,0,1,1441,315
2020-11-02,81,4534,738,0,0,0,0,1619,423
2020-11-03,84,3961,678,0,0,0,0,1545,341
2020-11-04,68,3366,731,0,3,1,0,1322,377
2020-11-05,78,3703,748,1,1,1,0,1311,395
2020-11-06,77,3428,707,0,1,0,0,1266,407
2020-11-07,52,2999,510,2,3,1,0,1009,336
2020-11-08,77,3066,631,1,1,1,0,1027,314
2020-11-09,88,4263,796,0,3,0,0,3961,411
2020-11-10,83,3730,685,1,0,0,0,3235,447
2020-11-11,79,3766,721,0,0,1,0,2403,394
2020-11-12,83,3882,686,1,0,0,0,2125,391
2020-11-13,90,3691,678,0,0,1,1,1834,371
2020-11-14,70,3208,573,3,0,1,0,1543,302
2020-11-15,80,3511,683,0,0,0,0,1671,358
2020-11-16,112,4361,785,0,1,0,1,3068,430
2020-11-17,93,4293,805,2,1,0,0,2476,436
2020-11-18,96,4181,757,1,0,0,0,2563,390
2020-11-19,98,4190,710,0,0,0,1,2439,377
2020-11-20,93,3855,716,1,1,0,0,2348,418
2020-11-21,88,3482,572,1,0,0,1,1944,366
2020-11-22,101,3674,670,0,0,0,0,1934,394
2020-11-23,110,4347,713,0,1,0,0,3343,449
2020-11-24,82,3908,676,0,1,0,1,2470,407
2020-11-25,90,3687,682,1,1,1,0,2054,387
2020-11-26,89,3598,764,0,0,1,0,1882,359
2020-11-27,86,3264,590,1,0,0,0,1689,326
2020-11-28,78,3432,778,1,2,1,0,1766,314
2020-11-29,77,3498,684,0,2,0,1,1614,322
2020-11-30,93,3645,724,0,1,1,0,1964,389
2020-12-01,84,3827,736,0,1,1,0,2141,354
2020-12-02,92,4025,749,0,2,0,0,2996,404
2020-12-03,88,4129,727,1,3,0,0,2801,340
2020-12-04,83,3934,651,1,0,0,0,2810,354
2020-12-05,84,3818,604,1,0,0,0,2501,275
2020-12-06,86,3737,603,0,0,0,0,2213,276
2020-12-07,90,4054,697,0,0,0,0,2479,386
2020-12-08,96,4032,743,0,1,0,0,3295,354
2020-12-09,72,3973,737,1,0,1,0,3238,386
2020-12-10,86,3928,731,0,2,0,0,2667,321
2020-12-11,88,3657,633,0,0,0,1,2403,344
2020-12-12,61,3152,543,0,1,2,0,2347,281
2020-12-13,58,3331,574,0,3,0,0,2322,316
2020-12-14,88,4000,736,0,0,1,0,2801,389
2020-12-15,83,3913,713,0,1,0,0,2894,358
2020-12-16,97,3587,663,2,0,0,0,2535,347
2020-12-17,81,3616,606,0,0,0,0,2391,356
2020-12-18,99,3513,600,0,0,1,0,2370,308
2020-12-19,78,3456,547,1,1,0,0,2330,319
2020-12-20,70,4131,822,0,3,0,0,2166,277
2020-12-21,120,4699,896,2,0,1,1,2167,344
2020-12-22,83,3818,806,0,0,0,0,1891,389
2020-12-23,74,3297,716,1,1,0,0,1695,308
2020-12-24,59,3805,572,0,0,0,0,1388,286
2020-12-25,53,2930,501,0,1,0,0,1115,272
2020-12-26,57,3157,496,0,1,0,0,1364,291
2020-12-27,72,3379,626,2,2,1,0,1551,266
2020-12-28,82,3542,663,2,0,0,0,1585,362
2020-12-29,89,3951,672,0,1,0,0,1752,330
2020-12-30,85,3980,694,0,0,0,1,2464,298
2020-12-31,77,3644,633,1,0,0,0,1864,270
2021-01-01,66,3212,543,0,0,0,1,1490,236
2021-01-02,76,3408,633,1,2,0,1,1489,285
2021-01-03,92,3645,703,0,2,0,0,1570,282
2021-01-04,88,4028,779,0,1,2,0,1943,337
2021-01-05,87,4462,892,1,1,1,0,2153,352
2021-01-06,105,4083,884,1,0,0,0,1808,350
2021-01-07,91,3434,765,1,0,0,0,1538,333
2021-01-08,72,3520,837,2,1,1,0,1727,314
2021-01-09,94,3159,683,0,1,1,0,1504,278
2021-01-10,78,3358,823,0,1,3,0,1448,298
2021-01-11,90,3633,835,0,4,1,0,1614,375
2021-01-12,81,3651,757,1,0,1,0,1778,386
2021-01-13,75,3403,770,0,1,1,0,1907,311
2021-01-14,94,3599,808,2,0,1,0,1809,293
2021-01-15,89,3763,712,0,0,1,0,1696,269
2021-01-16,59,3101,656,0,2,1,0,1459,264
2021-01-17,62,2925,587,1,1,0,0,1394,254
2021-01-18,81,3167,706,0,0,1,0,1501,313
2021-01-19,85,3225,782,0,1,3,0,1459,302
2021-01-20,75,3283,734,0,0,0,0,1365,268
2021-01-21,81,3052,757,0,2,1,0,1288,295
2021-01-22,67,3287,678,1,0,0,0,1427,295
2021-01-23,60,2901,595,1,0,0,0,1198,292
2021-01-24,63,2976,611,0,0,0,1,1227,262
2021-01-25,88,3461,683,2,0,0,0,1282,326
2021-01-26,78,3365,784,1,0,0,0,1356,284
2021-01-27,74,3266,677,0,2,3,1,1324,306
2021-01-28,56,2848,645,1,0,0,0,1330,314
2021-01-29,59,2906,595,1,0,1,0,1771,260
2021-01-30,65,2485,580,1,0,1,0,1402,241
2021-01-31,62,3124,601,0,1,1,0,1230,267
2021-02-01,78,2948,699,0,0,2,0,1280,291
2021-02-02,69,2945,683,0,0,3,0,1301,293
2021-02-03,74,2853,691,1,1,0,0,1244,304
2021-02-04,69,2974,668,0,1,1,0,1254,292
2021-02-05,67,2799,657,0,2,1,0,1156,244
2021-02-06,35,2426,546,2,1,1,0,992,276
2021-02-07,54,2744,544,3,1,0,0,1089,244
2021-02-08,67,2892,683,1,3,0,0,1164,305
2021-02-09,74,2894,689,0,1,0,0,1071,317
2021-02-10,58,2887,618,0,0,3,1,1127,314
2021-02-11,54,2839,634,1,1,0,1,1101,330
2021-02-12,57,2570,576,0,1,1,0,944,269
2021-02-13,51,2513,457,1,1,0,0,938,223
2021-02-14,58,2521,513,0,0,1,0,871,277
2021-02-15,78,2652,563,0,0,0,0,1060,256
2021-02-16,63,2747,660,1,2,0,0,1004,347
2021-02-17,61,2652,677,0,1,1,0,1018,304
2021-02-18,63,2571,648,1,2,0,0,975,324
2021-02-19,60,2732,661,0,0,0,0,986,260
2021-02-20,58,3078,1692,1,0,1,0,962,294
2021-02-21,58,3201,1634,3,1,1,0,1032,287
2021-02-22,75,3551,1229,1,2,0,0,1106,328
2021-02-23,67,3360,881,0,1,2,0,1108,360
2021-02-24,87,3452,790,1,1,0,0,1292,313
2021-02-25,68,3486,756,1,1,1,0,1263,279
2021-02-26,52,2916,672,1,0,3,1,1259,255
2021-02-27,48,2641,535,0,1,1,0,1201,290
2021-02-28,49,2821,588,1,0,0,0,1241,298
2021-03-01,67,3202,730,0,1,1,0,1283,375
2021-03-02,79,3237,721,4,1,0,0,1326,304
2021-03-03,59,3123,662,0,1,1,0,1368,315
2021-03-04,92,3164,784,0,0,2,0,1271,322
2021-03-05,63,2608,606,1,1,1,1,1287,264
2021-03-06,50,2530,575,0,1,0,0,1057,245
2021-03-07,55,2726,601,1,1,1,0,1084,310
2021-03-08,56,2902,631,1,0,0,0,1096,328
2021-03-09,76,2752,672,3,1,1,0,1187,336
2021-03-10,65,2874,782,2,0,1,0,1202,351
2021-03-11,64,2860,666,3,0,1,0,1273,300
2021-03-12,55,2696,710,1,2,0,5,1437,258
2021-03-13,59,2354,522,1,1,0,0,1201,301
2021-03-14,65,2585,574,0,1,0,0,1194,349
2021-03-15,76,2844,646,1,4,0,0,1381,310
2021-03-16,79,2871,624,0,1,1,1,1443,327
2021-03-17,67,2745,651,0,0,0,0,1219,337
2021-03-18,61,2743,646,1,6,1,0,1223,368
2021-03-19,69,2524,632,1,0,1,0,1111,292
2021-03-20,63,2334,549,0,0,0,0,1004,244
2021-03-21,54,2392,533,2,2,0,0,1093,245
2021-03-22,80,2749,638,1,1,0,0,1295,322
2021-03-23,86,2876,671,1,1,0,0,1278,340
2021-03-24,79,2952,736,4,1,1,0,1348,385
2021-03-25,70,2762,657,0,1,0,0,1300,335
2021-03-26,68,2590,591,0,0,0,0,1246,293
2021-03-27,61,2222,523,2,1,1,0,1046,287
2021-03-28,62,2350,580,0,2,2,0,1002,257
2021-03-29,68,2785,725,2,0,2,0,1271,298
2021-03-30,72,2689,703,1,4,0,1,1325,346
2021-03-31,76,2593,659,1,1,0,0,1292,312
2021-04-01,60,2460,586,0,3,0,0,1311,284
2021-04-02,54,2466,512,3,0,0,0,1217,255
2021-04-03,62,2273,473,1,0,0,0,1053,295
2021-04-04,54,2371,521,3,1,1,1,1154,246
2021-04-05,79,2798,701,0,0,1,0,1258,350
2021-04-06,65,2836,763,1,3,0,0,1400,326
2021-04-07,77,2785,724,1,1,0,1,1558,333
2021-04-08,65,2675,681,0,0,1,0,1514,348
2021-04-09,70,2585,655,1,0,0,0,1299,304
